recipe_name,weight,energy_gm,protein_gm,fat_gm,carbs_gm,total_dietary_fibre_gm,sugar_gm,sodium_mg,trans_fat_gm,total_saturated_fat_gm,cholesterol_mg,added_sugar_gm,clusterID,energy_gm_tag,protein_gm_tag,fat_gm_tag,carbs_gm_tag,total_dietary_fibre_gm_tag,sugar_gm_tag,sodium_mg_tag,trans_fat_gm_tag,total_saturated_fat_gm_tag,cholesterol_mg_tag,added_sugar_gm_tag
fried bean curd with hot n sweet dip,100,184.7892857,13.47225,6.8295,20.34625,2.2725,12.523,2639.725,0.0,0.908475,9.75,0.0,17,,LOW,LOW,,LOW,,,HIGH,,HIGH,HIGH
chocolate milkshake without sugar,100,181.6994536,3.90273224,9.896174862999999,19.05846995,0.12295082,1.4207650269999998,701.5737705,0.131147541,1.661202186,7.868852459,0.0,17,,LOW,LOW,,LOW,,,HIGH,,HIGH,HIGH
veg thai green curry,100,212.87517999999997,6.359264873,12.0175521,20.48666919,5.412201592000001,2.0351458890000003,303.36945810000003,0.020007578999999998,0.660781736,2.500947329,0.0,17,,LOW,LOW,,LOW,,,HIGH,,HIGH,HIGH
corn seekh kebab,100,172.72985780000002,2.155687204,9.245023697,21.49407583,2.3061611369999997,1.531753555,958.2521327,0.15535545,2.5501184830000003,10.18957346,0.0,17,,LOW,LOW,,LOW,,,HIGH,,HIGH,HIGH
single chhole served with chutney n pickle,100,275.6593769,13.81089202,9.603094324,33.37516859,18.84161332,0.21427656899999997,211.11011519999997,0.09026035,0.295065301,0.0,0.0,24,HIGH,LOW,LOW,HIGH,LOW,,,HIGH,,HIGH,HIGH
"stuffed kulcha onion,onion kulcha",100,300.1048218,11.97512579,2.285780922,63.18547170000001,9.887683438,0.9136897270000001,3047.247379,0.000146751,0.027551363,0.0,0.0,24,HIGH,LOW,LOW,HIGH,LOW,,,HIGH,,HIGH,HIGH
"cucumber channa dal,kheera channa dal",100,303.6521739,13.66956522,10.2,39.65217391,10.65652174,0.0,892.9652174,0.11478260900000001,0.301956522,0.0,0.0,24,HIGH,LOW,LOW,HIGH,LOW,,,HIGH,,HIGH,HIGH
"palak chhola dal idli,palak chana dal idli",100,308.292517,17.30748299,4.699319728,49.29659864,12.89795918,0.0,596.6258502999999,0.0,0.0,0.0,0.0,24,HIGH,LOW,LOW,HIGH,LOW,,,HIGH,,HIGH,HIGH
sabudana vada,100,309.64285710000007,4.345357143,11.44314286,49.18185714,1.823571429,2.1180000000000003,283.3642857,0.075428571,1.094428571,0.0,0.0,24,HIGH,LOW,LOW,HIGH,LOW,,,HIGH,,HIGH,HIGH
chhole bhature without onion,100,312.8537003,11.29390368,14.29525875,35.29877954,13.568620999999998,0.193194735,167.2722106,0.189614119,0.559849835,0.0,0.0,24,HIGH,LOW,LOW,HIGH,LOW,,,HIGH,,HIGH,HIGH
